ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
fa39f5410bc57325f041811759c901e5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Saccharospirillaceae	 g__Reinekea	
42cf52dced3d1f00af319047ca150e12	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Schleiferiaceae	 g__Schleiferia	 s__uncultured_Bacteroidetes
4cca271df36cf3e4ef8879d0b3b73814	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__uncultured	 s__uncultured_sediment
a95cdd39f5d839c6f7e888f05d918b80	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Agarivorans	
f012ea6ef4384f02cb991ceb65260bcd	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
9c4d083d3768d4ce8ad117714128932a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae	 g__Methylotenera	
6f50c175b867fdf80f06438a5afdfdf3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prevotellaceae	 g__Prevotella	 s__Prevotella_copri
0d34bf86f393972efc00d38e7ab4f911	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Spongiibacteraceae	 g__uncultured	
5c81b93fde3bddc5efd904f694d3e7b1	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__uncultured_marine
d50c4f961ae90478ab606542e516c344	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcales-Tissierellales	 g__Peptoniphilus	 s__Peptoniphilaceae_bacterium
971de4b50bb69dcd870ea6c5f1a5f000	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavicella	 s__uncultured_bacterium
